@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute xPos numeric
@attribute yPos numeric
@attribute istSpeed numeric
@attribute istVelX numeric
@attribute istVelY numeric
@attribute istAcc numeric
@attribute size numeric
@attribute elapsedTime numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
192,'2019/05/04 16:55:39:808',96,272,175,22,-19.936028,9.30348,0.285714,0,2515,0,0
193,'2019/05/04 16:55:39:822',97,267,178,8,-6.859944,4.115966,1.555556,0,2530,0,0
194,'2019/05/04 16:55:39:823',97,267,178,8,-6.859944,4.115966,1.555556,0,2530,0,0
195,'2019/05/04 16:55:38:112',98,267,178,0,0,0,1.333333,0,2550,0,0
196,'2019/05/04 16:55:39:843',98,267,178,0,0,0,1.333333,0,2550,0,0
197,'2019/05/04 16:55:39:856',99,266,179,2,-1.414214,1.414214,0.222222,0,2564,0,0
198,'2019/05/04 16:55:39:857',99,266,179,2,-1.414214,1.414214,0.222222,0,2564,0,0
199,'2019/05/04 16:55:39:872',100,266,179,0,0,0,0.285714,0,2581,0,0
200,'2019/05/04 16:55:39:873',100,266,179,0,0,0,0.285714,0,2581,0,0
201,'2019/05/04 16:55:39:889',101,266,179,0,0,0,0,0,2597,0,0
202,'2019/05/04 16:55:39:890',101,266,179,0,0,0,0,0,2597,0,0
203,'2019/05/04 16:55:39:904',102,266,180,1,0,1,0.125,0,2613,0,0
204,'2019/05/04 16:55:39:905',102,266,180,1,0,1,0.125,0,2613,0,0
205,'2019/05/04 16:55:39:922',103,266,181,1,0,1,0,0,2630,0,0
206,'2019/05/04 16:55:39:923',103,266,181,1,0,1,0,0,2630,0,0
207,'2019/05/04 16:55:39:936',104,265,185,5,-1.212678,4.850713,0.444444,0,2644,0,0
208,'2019/05/04 16:55:39:936',104,265,185,5,-1.212678,4.850713,0.444444,0,2644,0,0
209,'2019/05/04 16:55:39:953',105,264,189,5,-1.212678,4.850713,0,0,2662,0,0
210,'2019/05/04 16:55:39:954',105,264,189,5,-1.212678,4.850713,0,0,2662,0,0
